id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
119,3.296,3.264,3.456,-0.224,-0.288,-1.76,0.6823111111111111,0.46577777777777796,0.2350222222222223,0.29914061432098776,0.1576757728395061,0.2409167328395062,Fall,1,1521641646.8019998,4.999000310897827
120,3.296,3.264,3.456,-0.224,-0.288,-1.76,0.34835443037974695,0.6578227848101261,0.383594936708861,0.39178984906265035,0.17943971543021978,0.2495836333920843,Fall,1,1521641649.3019998,3.5990002155303955
121,4.064,1.056,3.936,-1.76,-0.928,-2.112,0.7586666666666669,0.3553333333333335,0.22333333333333338,0.6408515555555555,0.08666622222222224,0.5639035555555555,Fall,1,1521641663.642,3.799999952316284
122,1.888,2.944,2.816,-0.128,0.0,-0.352,0.9356190476190477,0.47786666666666666,0.1974857142857144,0.058114902494331065,0.169930686984127,0.1472113545578231,Fall with Wiggling Hands,1,1521641937.7489998,4.978000164031982
33,1.536,0.672,0.352,0.672,-0.32,-0.288,0.971610619469026,0.2540176991150444,-0.026336283185840713,0.03037676873678441,0.010716353669042203,0.01519199310830917,Walk-Flat Ground,0,1521640240.626,4.999000072479248
34,1.6,0.448,0.384,0.64,-0.32,-0.288,0.9554716981132073,0.25630188679245297,-0.006339622641509436,0.031713834104663594,0.010288210751156997,0.01778320541117836,Walk-Flat Ground,0,1521640243.126,4.979000091552734
35,1.472,0.448,0.416,0.576,0.096,-0.256,0.9451940298507464,0.26650746268656733,0.016716417910447763,0.03176932056137224,0.005666787257741141,0.02311972555134774,Walk-Flat Ground,0,1521640245.626,4.999000072479248
36,1.632,0.448,0.32,0.576,0.096,-0.256,0.9548235294117643,0.27623529411764725,-0.007529411764705888,0.04106873356401385,0.004213591695501724,0.014219072664359862,Walk-Flat Ground,0,1521640248.126,4.979000091552734
37,1.632,0.448,0.416,0.512,0.064,-0.256,0.9424516129032254,0.2718279569892475,-0.012387096774193557,0.04519949497051682,0.005629217713030408,0.014689054457162667,Walk-Flat Ground,0,1521640250.626,4.960999965667725
38,1.728,0.48,0.416,0.512,0.064,-0.256,0.9529904761904759,0.27215238095238115,-0.011276190476190478,0.04770827609977324,0.005658795827664398,0.016910257052154196,Walk-Flat Ground,0,1521640253.126,4.999000072479248
39,1.728,0.48,0.384,0.608,0.096,-0.288,0.9571171171171159,0.2842522522522525,-0.05189189189189192,0.032741238535833106,0.004294134566999434,0.022492096420745088,Walk-Flat Ground,0,1521640255.626,4.998000144958496
40,1.728,0.48,0.384,0.544,0.096,-0.288,0.9545660377358485,0.2572075471698115,-0.03320754716981132,0.03074843431826273,0.006413032395870422,0.020092126735493068,Walk-Flat Ground,0,1521640258.126,4.978000164031982
41,1.728,0.48,0.384,0.544,0.096,-0.256,0.954782608695652,0.245913043478261,0.01495652173913043,0.033820431001890354,0.0057194706994328865,0.01554812854442345,Walk-Flat Ground,0,1521640260.626,4.937999963760376
42,1.376,0.384,0.384,0.64,0.096,-0.256,0.9621333333333331,0.2572800000000002,0.011519999999999999,0.018959928888888884,0.0034253482666666665,0.021207449599999997,Walk-Flat Ground,0,1521640263.126,4.997999906539917
43,1.376,0.416,0.384,0.704,0.096,-0.192,0.9445274725274722,0.25846153846153863,-0.014065934065934066,0.017855018476029452,0.003493545224006765,0.011955116531819826,Walk-Flat Ground,0,1521640265.626,4.937999963760376
44,1.792,0.416,0.416,0.64,0.032,-0.256,0.9404444444444439,0.2645333333333335,-0.030222222222222234,0.03976975802469134,0.003841137777777777,0.014412483950617281,Walk-Flat Ground,0,1521640268.126,4.978000164031982
45,1.792,0.416,0.416,0.64,0.032,-0.352,0.9487058823529411,0.2620235294117649,-0.01995294117647059,0.049988207612456745,0.004854822975778547,0.019684327197231843,Walk-Flat Ground,0,1521640270.626,4.958000183105469
46,1.536,0.416,0.448,0.64,0.096,-0.416,0.9474392523364481,0.27274766355140206,-0.06220560747663553,0.02351863883308584,0.0051361886627653095,0.026620780155472083,Walk-Flat Ground,0,1521640273.126,4.998000144958496
47,1.408,0.416,0.448,0.704,0.096,-0.416,0.9470561797752801,0.24557303370786535,-0.05177528089887641,0.010210524933720487,0.005724626688549424,0.02573819669233685,Walk-Flat Ground,0,1521640275.626,4.177999973297119
48,1.216,0.48,0.096,0.576,0.16,-0.256,0.9214814814814816,0.2785185185185187,0.02251851851851852,0.011297360768175587,0.003721657064471878,0.005940323731138543,Go Up Stairs,0,1521640600.6409998,4.999000310897827
