id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
1,-0.768,-0.064,0.32,-1.088,-0.416,0.064,-0.9028085106382983,-0.2975319148936172,0.10076595744680858,0.0019144952467179727,0.004876631960162968,0.0025699665006790407,Walk-Flat Ground,0
2,-0.64,-0.096,0.704,-1.056,-0.576,-0.192,-0.9018666666666667,-0.32053333333333356,0.10880000000000005,0.0038055822222222203,0.005102648888888892,0.014479360000000005,Run-Flat Ground,0
3,0.64,0.032,0.704,-1.92,-2.24,-0.576,-0.8793333333333339,-0.48066666666666685,0.06800000000000005,0.1324368888888889,0.14513022222222227,0.03697600000000001,Run-Flat Ground,0
4,0.64,0.032,0.704,-2.24,-2.976,-0.576,-0.8236521739130432,-0.8918260869565218,0.04869565217391305,0.5821856181474481,0.4614504045368621,0.07478490737240075,Run-Flat Ground,0
5,0.128,0.064,0.672,-4,-2.88,-0.224,-0.9226666666666667,-0.5599999999999999,0.09866666666666668,1.0017848888888887,0.655104,0.04257422222222223,Jump,0
6,0.128,0.064,0.672,-4,-2.88,-0.224,-0.9173333333333336,-0.6506666666666667,0.12266666666666669,1.0057955555555556,0.6209422222222222,0.05765688888888889,Jump,0
7,-0.704,-0.192,0.16,-0.928,-0.48,0.128,-0.8887272727272731,-0.2487272727272728,0.12945454545454552,0.006975471074380172,0.01051292561983471,4.44297520661157e-05,Put Down a Thing,0
8,-0.704,-0.448,0.192,-0.864,-0.608,0.096,-0.7626666666666668,-0.4906666666666667,0.14222222222222225,0.002986666666666667,0.003413333333333331,0.0007079506172839506,Put Down a Thing,0
9,-0.64,-0.192,0.544,-0.928,-0.8,0.096,-0.8480000000000005,-0.4213333333333334,0.2282666666666667,0.008379733333333333,0.04212622222222224,0.02175886222222222,Put Down a Thing,0
10,-0.64,-0.288,0.544,-0.896,-0.8,0.128,-0.7946666666666669,-0.5564444444444444,0.31466666666666676,0.00685511111111111,0.02436424691358025,0.01755022222222222,Put Down a Thing,0
11,-0.832,-0.224,0.192,-0.928,-0.384,0.096,-0.9216000000000005,-0.2485333333333335,0.12906666666666675,0.00036864000000000064,0.0017533155555555554,0.00030606222222222224,Put Down a Thing,0
12,-0.736,-0.224,0.352,-0.928,-0.48,0.096,-0.8640000000000004,-0.34720000000000006,0.17600000000000005,0.0024576000000000025,0.005148160000000001,0.003327999999999999,Put Down a Thing,0
13,-0.864,-0.352,0.096,-0.896,-0.384,0.064,-0.8853333333333334,-0.36266666666666664,0.09066666666666666,0.00022755555555555596,0.00022755555555555593,0.0001422222222222222,Get Thing on Floor,0
14,-0.544,-0.352,0.352,-0.896,-0.576,0.064,-0.7519999999999999,-0.44266666666666676,0.18133333333333332,0.019541333333333334,0.0074808888888888885,0.009272888888888888,Get Thing on Floor,0
15,-0.544,-0.16,0.16,-1.376,-0.544,-0.128,-0.9462857142857144,-0.2872380952380954,0.025142857142857133,0.028532680272108847,0.005582657596371883,0.006608979591836735,Walk-Flat Ground,0
16,-0.544,-0.064,0.352,-1.376,-0.544,-0.608,-0.980148148148148,-0.29451851851851873,-0.05214814814814815,0.03304471879286694,0.010861212620027436,0.04021271879286693,Walk-Flat Ground,0
17,-0.608,0.032,0.352,-1.536,-0.544,-0.608,-1.0221886792452832,-0.27592452830188696,-0.08030188679245283,0.04797015307938768,0.016470032039871844,0.052228739053043795,Walk-Flat Ground,0
18,-0.544,0.288,0.288,-1.824,-0.544,-0.64,-1.0197735849056602,-0.21554716981132085,-0.04286792452830188,0.07342032609469563,0.0342808515485938,0.03303630331078677,Walk-Flat Ground,0
19,-0.544,0.48,0.256,-1.824,-0.512,-0.8,-0.9581886792452832,-0.16301886792452835,-0.16241509433962267,0.0781878134567462,0.046380018511925955,0.056526695621217496,Walk-Flat Ground,0
20,-0.448,0.48,0.32,-1.728,-0.544,-0.8,-0.9246896551724135,-0.21075862068965534,-0.19641379310344836,0.06587814506539835,0.040255010701545774,0.06064369084423306,Walk-Flat Ground,0
21,-0.448,0.416,0.416,-1.536,-0.544,-0.704,-0.9704827586206894,-0.25158620689655187,-0.07448275862068968,0.048282939357907215,0.02522741498216408,0.05167273246135555,Walk-Flat Ground,0
22,-0.736,0.288,0.416,-1.568,-0.544,-0.416,-1.0416326530612245,-0.2279183673469389,-0.0006530612244897954,0.03632321199500208,0.024769625989171176,0.030280716368179916,Walk-Flat Ground,0
23,-0.48,0.288,0.256,-1.568,-0.48,-0.416,-1.0771063829787235,-0.25123404255319165,-0.008851063829787235,0.05739962698053417,0.02357286011770032,0.023255786328655492,Walk-Flat Ground,0
24,-0.48,-0.032,0.48,-1.536,-0.48,-0.544,-1.0387199999999999,-0.26368000000000014,-0.01024,0.05514076159999999,0.012229017599999994,0.0372506624,Walk-Flat Ground,0
25,-0.576,0,0.48,-1.6,-0.544,-0.544,-1.028923076923077,-0.2492307692307694,-0.006769230769230769,0.059722224852071,0.015373254437869823,0.032663100591715996,Walk-Flat Ground,0
26,-0.608,0.896,0.224,-1.6,-0.544,-0.896,-1.0305084745762711,-0.2066440677966103,-0.03416949152542372,0.061467063487503616,0.04798297500718184,0.030888852628555022,Walk-Flat Ground,0
27,-0.512,0.896,0.48,-1.504,-0.48,-0.896,-0.9913962264150944,-0.16603773584905668,-0.022339622641509443,0.04028340904236385,0.05796445140619437,0.04801535635457458,Walk-Flat Ground,0
28,-0.512,0.448,0.48,-1.504,-0.544,-0.736,-0.9763018867924528,-0.22520754716981145,0.0012075471698113208,0.03897470131719473,0.036514768244927005,0.048995975792096816,Walk-Flat Ground,0
29,-0.64,0.256,0.416,-1.504,-0.544,-0.736,-1.0154666666666667,-0.29226666666666684,-0.038400000000000004,0.044892160000000014,0.026014151111111113,0.05568739555555559,Walk-Flat Ground,0
30,-0.736,-0.16,0.32,-1.44,-0.512,-0.64,-1.0856296296296302,-0.32474074074074083,-0.02488888888888888,0.03534134430727023,0.0065007846364883385,0.04318498765432099,Walk-Flat Ground,0
31,-0.608,0,0.288,-1.568,-0.512,-0.448,-1.0097777777777777,-0.2631111111111113,-0.0041481481481481465,0.04766024691358024,0.013602765432098759,0.019723237311385464,Walk-Flat Ground,0
32,-0.608,0.032,0.288,-1.568,-0.48,-0.16,-1.0689523809523809,-0.24000000000000007,0.011428571428571425,0.054567473922902475,0.014591999999999997,0.01037757823129252,Walk-Flat Ground,0
33,-0.448,0.096,0.384,-1.792,-0.896,-0.416,-1.0742857142857145,-0.23222857142857148,-0.008228571428571429,0.10001763265306123,0.03846394775510204,0.02600040489795918,Walk-Flat Ground,0
34,-0.448,0.096,0.384,-1.792,-0.896,-0.416,-1.0107317073170736,-0.22946341463414646,-0.03590243902439025,0.07187858655562165,0.0356602974419988,0.028581844140392627,Walk-Flat Ground,0
35,-0.544,0.032,0.352,-1.312,-0.512,-0.288,-0.9676190476190479,-0.24304761904761918,-0.04038095238095237,0.026322140589569158,0.017167092970521543,0.027212045351473934,Walk-Flat Ground,0
36,-0.544,0,0.256,-1.632,-0.512,-0.256,-1.0154666666666672,-0.2816000000000001,-0.0064,0.05556451555555555,0.01484117333333333,0.026651306666666662,Walk-Flat Ground,0
37,-0.672,-0.128,0.32,-1.28,-0.512,-0.224,-0.9534814814814816,-0.25837037037037053,0.07525925925925929,0.010064768175582987,0.00492475171467764,0.009146117969821673,Go Up Stairs,0
38,-0.672,-0.128,0.224,-1.44,-0.512,-0.256,-0.9930666666666668,-0.28906666666666686,0.049600000000000026,0.026076728888888887,0.007200995555555552,0.01121024,Go Up Stairs,0
39,-0.576,-0.128,0.288,-1.44,-0.512,-0.256,-0.9844067796610168,-0.3178305084745765,0.05044067796610172,0.0393055972421718,0.006902954323470265,0.01562739902326918,Go Up Stairs,0
40,-0.576,-0.096,0.32,-1.408,-0.48,-0.256,-0.9777021276595745,-0.32068085106383,0.05106382978723404,0.041430975101856046,0.0079954513354459,0.018809336351290187,Go Up Stairs,0
41,-0.48,0.064,0.544,-2.176,-1.376,-0.832,-0.9708936170212769,-0.35540425531914904,0.08851063829787237,0.10920966953372567,0.05177666636487097,0.056351058397464925,Go Down Stairs,0
42,-0.288,0.256,0.672,-2.24,-1.376,-0.832,-1.1314285714285712,-0.36419047619047634,0.04647619047619046,0.2701810068027211,0.13087463038548752,0.10752986848072561,Go Down Stairs,0
43,0.192,0.256,0.672,-2.24,-1.088,-0.48,-0.9956226415094336,-0.3489811320754719,0.15698113207547176,0.20459366892132413,0.07319722605909576,0.06423239587041653,Go Down Stairs,0
44,-0.416,-0.192,0.672,-2.016,-0.896,0.064,-0.9102222222222228,-0.3431111111111113,0.18577777777777787,0.04946172839506178,0.018580543209876545,0.020981728395061745,Go Down Stairs,0
45,-0.544,-0.064,0.288,-1.408,-0.544,-0.16,-0.9546666666666667,-0.2791111111111113,0.06340740740740743,0.023087407407407404,0.005515061728395065,0.006048834019204389,Go Up Stairs,0
46,-0.544,-0.064,0.32,-1.44,-0.544,-0.288,-1.0330666666666666,-0.2880000000000002,0.027199999999999995,0.03434126222222221,0.010478933333333334,0.017197226666666666,Go Up Stairs,0
47,-0.64,0,0.448,-1.44,-0.736,-0.672,-1.0435254237288132,-0.30101694915254257,-0.020067796610169487,0.031102418845159446,0.01989401666187877,0.031896673369721344,Go Up Stairs,0
48,-0.64,0,0.448,-1.344,-0.736,-0.384,-0.9748292682926828,-0.30673170731707333,-0.0054634146341463385,0.0287767757287329,0.023026293872694815,0.020375224271267114,Go Up Stairs,0
49,-0.416,-0.16,0.288,-2.24,-0.576,-0.288,-0.9108965517241377,-0.2962758620689657,0.057379310344827614,0.06600264447086802,0.006799372175980974,0.009348718192627824,Go Down Stairs,0
50,-0.416,0.032,0.384,-2.24,-0.8,-0.384,-0.9301333333333329,-0.31093333333333356,0.03306666666666669,0.1610023822222222,0.028197262222222227,0.027134862222222215,Go Down Stairs,0
51,-0.416,0.032,0.416,-2.112,-0.8,-0.384,-0.9732830188679243,-0.2861886792452832,0.04950943396226417,0.19600650480598075,0.033943285154859365,0.03232617443930223,Go Down Stairs,0
52,-0.416,-0.064,0.416,-2.112,-0.576,-0.288,-0.9798918918918923,-0.2750270270270272,0.07264864864864866,0.13053793425858293,0.015966620891161423,0.016032444119795472,Go Down Stairs,0
53,-0.576,-0.032,0.192,-1.536,-0.448,-0.192,-0.9728,-0.2650666666666669,0.030400000000000014,0.03526656000000001,0.006215395555555558,0.00854784,Go Up Stairs,0
54,-0.576,-0.064,0.288,-1.536,-0.512,-0.352,-1.0097777777777779,-0.2933333333333335,-0.013629629629629629,0.05820365432098768,0.007158518518518518,0.020464899862825788,Go Up Stairs,0
55,-0.64,-0.064,0.288,-1.408,-0.512,-0.352,-0.969531914893617,-0.2709787234042555,-0.016340425531914896,0.03276429153463105,0.00840338252602988,0.020910181982797656,Go Up Stairs,0
56,-0.736,-0.064,0.128,-1.28,-0.48,-0.32,-0.9373333333333339,-0.24933333333333343,-0.020000000000000004,0.01369422222222222,0.006227555555555553,0.01013866666666667,Go Up Stairs,0
57,-0.192,0.128,0.448,-2.528,-0.608,-0.448,-0.9819259259259258,-0.18133333333333343,0.13629629629629636,0.15207629080932786,0.01926637037037037,0.024962282578875176,Go Down Stairs,0
58,-0.192,0.288,0.448,-2.944,-1.088,-0.544,-1.1166666666666663,-0.3273333333333335,0.056000000000000015,0.4614075555555557,0.07587155555555554,0.052928000000000024,Go Down Stairs,0
59,-0.128,0.288,0.672,-2.944,-1.088,-0.544,-1.0500740740740735,-0.3247407407407409,0.07466666666666669,0.31437080932784656,0.07510878463648835,0.044145777777777784,Go Down Stairs,0
60,0.704,0.512,0.928,-1.792,-2.592,-0.192,-0.7840000000000005,-0.5692631578947369,0.24000000000000007,0.21039157894736843,0.42453735180055396,0.05204884210526315,Run-Flat Ground,0
