id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
1,0.224,-0.736,0.704,-0.384,-1.152,-0.096,-0.04772881355932204,-0.9279999999999999,0.28203389830508496,0.012439790864694053,0.00628284745762712,0.020079931054294738,Walk-Flat Ground,0
2,0.448,-0.832,0.384,-0.416,-1.568,-0.16,-0.07638709677419357,-0.9754838709677424,0.1403870967741936,0.0324824308012487,0.019150185223725285,0.018080366285119668,Walk-Flat Ground,0
3,0.448,-0.768,0.448,-0.416,-1.568,-0.16,-0.11911111111111118,-0.9434074074074069,0.13866666666666672,0.013744987654320962,0.011102463648834006,0.01194666666666665,Walk-Flat Ground,0
4,0.032,-0.928,0.352,-0.096,-0.96,0.192,-0.02733333333333335,-0.9359999999999996,0.25066666666666687,0.0006822222222222217,0.00019199999999999895,0.0007822222222222219,Run-Flat Ground,0
5,0.64,0.32,0.928,-0.384,-2.24,-0.16,0.10533333333333335,-0.5213333333333333,0.276,0.06344355555555554,0.4796142222222222,0.09888533333333333,Jump,0
6,0.64,0.32,0.928,-0.384,-2.24,-0.16,0.16746666666666674,-0.5973333333333335,0.23360000000000009,0.047150648888888876,0.4068920888888891,0.08650410666666666,Jump,0
7,0.576,-0.48,0.704,0.256,-1.088,0.352,0.38399999999999995,-0.788,0.508,0.010495999999999998,0.031472,0.012400000000000003,Jump,0
8,0.704,-0.352,1.056,0.256,-2.272,0.352,0.42105263157894735,-0.7477894736842107,0.584421052631579,0.012747523545706371,0.16127574515235457,0.0358768753462604,Jump,0
9,2.592,0.32,2.592,-0.224,-4.096,-0.448,0.3469473684210527,-0.6880000000000001,0.4050526315789475,0.2428241551246537,0.9636244210526314,0.24954752354570636,Jump,0
10,0.416,0.768,1.216,0.032,-0.928,0.224,0.2932459016393444,-0.5156721311475418,0.467409836065574,0.0034305788766460627,0.34460448266595,0.13151781564095674,Sit Down Normally,0
11,0.416,0.768,1.216,-0.096,0.096,0.64,0.13226666666666673,0.41088000000000025,0.9480533333333331,0.008201102222222215,0.02217410559999998,0.009714983822222228,Sit Down Normally,0
12,0.416,0.864,1.824,-0.576,-0.896,0.064,0.1533333333333334,-0.21644444444444455,0.581777777777778,0.0692888888888889,0.4008531358024692,0.15397906172839504,Throw Himself on Sofa,0
13,0.416,0.864,1.824,-0.576,-0.832,0.064,0.036085106382978745,0.24034042553191504,0.8861276595744685,0.03360101403349937,0.11710082028067038,0.08490543051154374,Throw Himself on Sofa,0
14,0.576,0.512,0.896,0.288,-0.928,0.064,0.3255466666666669,-0.7965866666666657,0.18090666666666677,0.0026589411555555556,0.13379101582222228,0.05205997795555555,Put Down a Thing,0
15,0.608,0.512,0.896,0.288,-0.96,-0.128,0.3713015873015875,-0.686222222222222,0.2600634920634921,0.009802432854623332,0.15941169664902974,0.11343618644494823,Put Down a Thing,0
16,0.544,0.096,0.992,0.32,-0.928,-0.064,0.3542222222222225,-0.848444444444444,0.08177777777777778,0.002825283950617286,0.055580246913580295,0.06570350617283935,Put Down a Thing,0
17,0.64,-0.16,1.152,0.128,-0.96,-0.064,0.2355555555555557,-0.8360000000000001,0.1413333333333333,0.017644246913580245,0.054014222222222213,0.13555911111111113,Knee Down,0
18,0.64,-0.064,1.152,0.192,-0.96,-0.064,0.409846153846154,-0.4578461538461539,0.6892307692307694,0.017409514792899417,0.0875732071005917,0.12360710059171594,Knee Down,0
19,0.448,-0.064,0.96,0.448,-0.096,0.928,0.448,-0.08,0.9546666666666667,0,0.000256,0.0001422222222222215,Knee Down,0
20,1.344,-0.128,3.072,0.064,-1.152,-0.064,0.20444444444444454,-0.8844444444444443,0.16755555555555557,0.024136691358024695,0.03237846913580247,0.1880886913580247,Knee Down,0
21,1.344,-0.128,3.072,0.064,-1.152,-0.064,0.2720000000000001,-0.7714285714285719,0.43542857142857144,0.05452800000000001,0.0621962448979592,0.36610481632653064,Knee Down,0
22,0.544,-0.448,0.8,0.128,-0.96,0.032,0.19511111111111126,-0.899111111111111,0.1475555555555556,0.008224987654320986,0.014482765432098758,0.05152869135802468,Knee Down,0
23,0.384,-0.672,0.32,-0.96,-1.408,-0.832,0.07348148148148155,-0.9623703703703705,-0.003555555555555539,0.0390875829903978,0.006441788751714674,0.019898469135802465,Walk-Flat Ground,0
24,0.768,-0.384,0.608,-0.96,-1.536,-0.832,0.06613333333333334,-0.9450666666666672,-0.051200000000000016,0.1289511822222222,0.07200312888888889,0.08564736,Walk-Flat Ground,0
25,0.768,-0.384,0.736,-0.736,-1.632,-0.8,0.10997183098591552,-0.9590985915492957,-0.06670422535211269,0.07250878793890103,0.06608324380083314,0.07992237730609013,Walk-Flat Ground,0
26,0.608,-0.448,0.736,-0.704,-1.632,-0.864,0.09508571428571432,-0.9618285714285709,-0.08655238095238099,0.05518788789115647,0.04154179918367344,0.06641222820861681,Walk-Flat Ground,0
27,0.672,-0.448,0.864,-0.704,-1.664,-0.864,0.13766037735849065,-0.9427924528301885,-0.058867924528301925,0.05220796012815949,0.03615250409398363,0.07042679387682453,Walk-Flat Ground,0
