id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
1,-0.416,-0.832,0.096,-0.448,-0.864,0.064,-0.4266666666666667,-0.8586666666666667,0.07466666666666666,0.000227555555555556,0.00014222222222222248,0.00022755555555555558,Walk-Flat Ground,0,1521638749.763,4.45199990272522
2,-0.288,-0.832,0.192,-0.448,-0.928,0.128,-0.3733333333333333,-0.8693333333333335,0.14666666666666664,0.0017635555555555558,0.0008248888888888906,0.0005902222222222221,Run-Flat Ground,0,1521638819.981,4.919000148773193
3,-0.384,-0.832,0.192,-0.448,-0.864,0.128,-0.4053333333333333,-0.848,0.16,0.0005688888888888887,0.00025600000000000053,0.0006826666666666666,Run-Flat Ground,0,1521638822.481,3.939000129699707
4,0.864,0.416,0.448,-1.568,-1.76,-0.928,-0.36053333333333343,-0.8618666666666667,-0.012800000000000011,0.2983890488888889,0.23449144888888893,0.10018816000000001,Run-Flat Ground,0,1521638824.981,4.939000129699707
5,0.448,0.288,0.896,-0.48,-1.632,-0.928,-0.3200000000000001,-0.730666666666667,0.06533333333333337,0.05307733333333334,0.1434168888888889,0.09075022222222223,Jump,0,1521638916.656,4.940000057220459
6,0.448,0.288,0.896,-0.192,-1.632,-0.928,0.021333333333333333,-0.39999999999999997,-0.1386666666666667,0.0558648888888889,0.4272639999999999,0.3070862222222222,Jump,0,1521638919.156,3.759999990463257
7,0.448,-0.8,0.128,-0.512,-1.088,-0.096,-0.1893333333333334,-0.8782222222222228,0.04622222222222223,0.1352462222222222,0.0057141728395061755,0.005145283950617285,Put Down a Thing,0,1521639536.8109999,4.920000076293945
8,0.448,-0.736,0.16,-0.576,-1.088,-0.096,-0.14186666666666667,-0.8789333333333339,0.03626666666666667,0.15030158222222217,0.007900728888888885,0.006125795555555555,Put Down a Thing,0,1521639539.3109999,3.6000001430511475
9,0.288,-0.768,0.096,-0.544,-0.896,0.032,-0.4850000000000003,-0.8020000000000004,0.09200000000000004,0.035399,0.0005079999999999999,0.00023999999999999998,Put Down a Thing,0,1521639556.649,4.937000036239624
10,0.288,-0.768,0.128,-0.544,-0.96,-0.096,-0.2254545454545455,-0.8640000000000004,0.03781818181818181,0.07935788429752065,0.004282181818181814,0.0035966942148760337,Put Down a Thing,0,1521639559.149,3.7770001888275146
11,-0.48,-0.8,0.128,-0.512,-0.832,0.064,-0.4933333333333337,-0.8168888888888894,0.10666666666666673,0.00024888888888888926,0.00025520987654320857,0.0003413333333333334,Put Down a Thing,0,1521639574.635,3.628999948501587
12,0.288,-0.736,0.224,-0.576,-1.024,-0.032,-0.3280000000000002,-0.8515555555555561,0.08533333333333337,0.0709617777777778,0.005647802469135807,0.0030720000000000014,Put Down a Thing,0,1521639577.135,4.9720001220703125
